ANDERSONS, BRIGHT V2X, 
JASPER BANDWIDTH ROYAL 
INC. POLAR BEAUTY 
Precision PHARMACEUTICALS, BANCORP 
IRONNET, SERVICES COMPANY 
POLLO PHARMACEUTICALS, WEST 
Cabaletta Brands INC. 
REMITLY HOME INC. 
DTE SANARA Wolfspeed, 
Inc. INC. AIM 
RESOURCES, Holdings, PDC 
AND BANCORP, BAYCOM 
INC. AECOM AERSALE 
Corp. PALTALK, INC. 
THE MARYGOLD INC. 
Corporation CORPORATION WATCH 
INC. Essential RESOURCES, 
TECHNOLOGIES, AMAZON.COM, STAMP 
INSTRUMENTS THERAPEUTICS, Education, 
CHURCH INC. EAGLE 
ADAPTIVE ONTO CORP. 
CORP. INGREDIENTS, BIOSCIENCES, 
PUBLIC CORPORATION APEXIGEN, 
CORP. Inc. MESA 
NEW AIRWAYS INC. 
INC. JETBLUE CORPORATION 
INC CORPORATION HUNTINGTON 
INCORPORATED INC. CORPORATION 
KREME, NEOLEUKIN INC. 
FIRST INC. CORPORATION 
Evergy, UNITED LOCKHEED 
INC. SOLUTIONS TUESDAY 
Corporation CROSS INC. 
PINEAPPLE DOLLAR BARGAIN 
ENERGY BANCORP, CORPORATION 
PETROLEUM INC. Electrokinetics 
STREAMLINE INC. INC. 
Red SALEM HERITAGE 
BRIDGE INC. Nuveen 
CHIMERIX, JACKSON THERAPEUTICS, 
Chef, COMPANIES, INC. 
INC. MORTGAGE CORPORATION 
QUAD/GRAPHICS, SUNLIGHT INC. 
CORPORATION Kidpik INDEMNITY 
INC. AMETEK, BURNIE 
INC. INC. LUMINAR 
NORDSTROM, FAMOUS, REALREAL, 
ARCA ESPERION WELL 
INC. INC COLUMBUS 
INC. INC. INTERNATIONAL 
HEALTH, RAIN INC. 
DOLLAR HAEMONETICS IRON 
BANDWIDTH GROUP, TIMBER 
MANNKIND SECURITY SENSEI 
INC. CORPORATION ALLIANCE 
PIZZA, Richmond TECHNOLOGIES 
GROUP, INDEMNITY ALPINE 
INNOVATE LIPOCINE INC. 
NRX LLC StepStone 
INC. CORPORATION TECHNOLOGIES, 
STRATTEC TCP PROTAGENIC 
Corp. HAYWARD ARAVIVE, 
INC. BARFRESH L.P 
PRODUCE INC. INC. 
BIOTHERAPEUTICS, ACACIA CORPORATION 
THERAPEUTICS, READING ENERGY, 
AZEK CORPORATION INC 
CHEMBIO THERAPEUTICS, INC. 
OOMA, ORANGE DEPOT, 
PROGYNY, HOLDINGS, INC. 
APARTMENT TECHNOLOGIES, INC. 
IPERIONX INC. FOODS 
PETROLEUM INC. ENTERPRISES, 
INC. NUVASIVE, INC. 
TECHNOLOGIES Shattuck UPLAND 
BRIDGEWATER CORP UNIVERSAL 
THERMOGENESIS ORGENESIS BANCORP, 
SONOMA SIX INC. 
INC PPL SERVICES 
GREENLANE LIVENT GUARANTY 
INC. INC. BIOSCIENCES 
INC. FINANCIAL HEARTLAND 
VALHI, Olo INC. 
COMPANY MERIT CORPORATION 
CORPORATION THERAPEUTICS, INPIXON 
LANCASTER INC. INC. 
INC INC. Corp. 
TECH, FINANCIAL, INC. 
INC. FARO AEHR 
INC. ENERSYS GLOBOCARE 
SAFETY INC. UFP 
INC. IRONWOOD INC. 
NEW International CORPORATION 
JOURNAL COMPANY WINTRUST 
CORPORATION INC. CORPORATION 
CORPORATION PACIFIC SYSCO 
CORP. REALTY, IMMERSION 
CIRCOR Inc. EXELA 
BIOLASE, SHARECARE, INC.. 
INC. GROUP, ALTAIR 
